cruise,transect.id,haul,area,tow,location
OSTRICH 2014,OST14-1W-Und,1,1,und,w
OSTRICH 2014,OST14-1W-S,2,1,s,w
OSTRICH 2014,OST14-1W-M,3,1,m,w
OSTRICH 2014,OST14-1E-Und,4,1,und,e
OSTRICH 2014,OST14-1E-S,5,1,s,e
OSTRICH 2014,OST14-1E-M,6,1,m,e
OSTRICH 2014,OST14-1E-D,7,1,d,e
OSTRICH 2014,OST14-2C-Und,8,2,und,c
OSTRICH 2014,OST14-2C-S,9,2,s,c
OSTRICH 2014,OST14-2C-M,10,2,m,c
OSTRICH 2014,OST14-2C-D,11,2,d,c
OSTRICH 2014,OST14-2E-Und,12,2,und,e
OSTRICH 2014,OST14-2E-D,13,2,d,e
OSTRICH 2014,OST14-2E-M,14,2,m,e
OSTRICH 2014,OST14-2E-S,15,2,s,e
OSTRICH 2014,OST14-3C-Und,16,3,und,c
OSTRICH 2014,OST14-3C-M,17,3,m,c
OSTRICH 2014,OST14-3C-D,18,3,d,c
OSTRICH 2014,OST14-3C-S,19,3,s,c
OSTRICH 2014,OST14-4W-Und,20,4,und,w
OSTRICH 2014,OST14-4W-D,21,4,d,w
OSTRICH 2014,OST14-4W-S,22,4,s,w
OSTRICH 2014,OST14-4W-M,23,4,n,w
OSTRICH 2014,OST14-3W-Und,24,3,und,w
OSTRICH 2014,OST14-3W-M,25,3,m,w
OSTRICH 2014,OST14-3W-D,26,3,d,w
OSTRICH 2014,OST14 3W-S,27,3,s,w
OSTRICH 2014,OST14-5W-Und,28,5,und,w
OSTRICH 2014,OST14-5W-D,29,5,d,w
OSTRICH 2014,OST14-5W-S,30,5,s,w
OSTRICH 2014,OST14-5W-M,31,5,m,w
OSTRICH 2014,OST14-L1-Und,32,L1,und,sof
OSTRICH 2014,OST14-L1-S,33,L1,s,sof
OSTRICH 2014,OST14-L2-Und,34,L2,und,sof
OSTRICH 2014,OST14-L2-S,35,L2,s,sof
OSTRICH 2014,OST14-L3-Und,36,L3,und,sof
OSTRICH 2014,OST14-L3S,37,L3,s,sof
OSTRICH 2014,OST14-L4-Und,38,L4,und,sof
OSTRICH 2014,OST14-L4-S,39,L4,s,sof
OSTRICH 2014,OST14-L5-Und,40,L5,und,sof
OSTRICH 2014,OST14-L5-S,41,L5,s,sof
OSTRICH 2014,OST14-L6-Und,42,L6,und,sof
OSTRICH 2014,OST14-L6-S,43,L6,s,sof
OSTRICH 2014,OST14-L7-Und,44,L7,und,sof
OSTRICH 2014,OST14-L7-S,45,L7,s,sof
OSTRICH 2014,OST14-L8-Und,46,L8,und,sof
OSTRICH 2014,OST14-L8-S,47,L8,s,sof
OSTRICH 2014,OST14-L9-Und,48,L9,und,sof
OSTRICH 2014,OST14-L9-S,49,L9,s,sof
OSTRICH 2014,OST14-L10-Und,50,L1,und,sof
OSTRICH 2014,OST14-L10-S,51,L1,s,sof
OSTRICH 2014,OST14-L11-Und,52,L1,und,sof
OSTRICH 2014,OST14-L11-S,53,L1,s,sof
OSTRICH 2014,OST14-L12-Und,54,L1,und,sof
OSTRICH 2014,OST14-L12-S,55,L1,s,sof
OSTRICH 2014,OST14-L13-Und,56,L1,und,sof
OSTRICH 2014,OST14-L13-S,57,L1,s,sof
OSTRICH 2014,OST14-L14-Und,58,L1,und,sof
OSTRICH 2014,OST14-L14-S,59,L1,s,sof
OSTRICH 2014,OST14-Eddy-Und,60,eddy,und,sof
OSTRICH 2014,OST14-Eddy-S1,61,eddy,s,sof
OSTRICH 2014,OST14-DVM,62,dvm,und,sof
OSTRICH 2014,OST14-DVM-Return,63,dvm,und,sof
OSTRICH 2015,OST15-Eddy-1-X,101,x,und,eddy
OSTRICH 2015,OST15-Eddy-2-Ed-NS,102,edge,und,eddy
OSTRICH 2015,OST15-Eddy-2b-Ed-NS,103,edge,und,eddy
OSTRICH 2015,OST15-Eddy-3-Ed-NS,104,edge,und,eddy
OSTRICH 2015,OST15-Eddy-4-X,105,x,und,eddy
OSTRICH 2015,OST15-Eddy-6-Ed-Of,106,edge,und,eddy
OSTRICH 2015,OST15-Eddy-7-X,107,x,und,eddy
OSTRICH 2015,OST15-Eddy-10-Ed-NS,108,edge,und,eddy
OSTRICH 2015,OST15-Eddy-11-X,109,x,und,eddy
OSTRICH 2015,OST15-Eddy-12-X,110,x,und,eddy
OSTRICH 2015,OST15-Eddy-15-Ed-Of,111,edge,und,eddy
OSTRICH 2015,OST15-Eddy-15b-Ed-Of,112,edge,und,eddy
OSTRICH 2015,OST15-Eddy-16-X,113,x,und,eddy
OSTRICH 2015,OST15-Eddy-17-X,114,x,und,eddy
OSTRICH 2015,OST15-Eddy-18-X,115,x,und,eddy
OSTRICH 2015,OST15-Eddy-19-X,116,x,und,eddy
OSTRICH 2015,OST15-Eddy-20-X,117,x,und,eddy
OSTRICH 2015,OST15-6E-Und,118,6,und,e
OSTRICH 2015,OST15-6E-S,119,6,s,e
OSTRICH 2015,OST15-6E-M,120,6,m,e
OSTRICH 2015,OST15-7E-Und,121,7,und,e
OSTRICH 2015,OST15-7E-S,122,7,s,e
OSTRICH 2015,OST15-7E-M,123,7,m,e
OSTRICH 2015,OST15-8W-Und,124,8,und,w
OSTRICH 2015,OST15-8W-M,125,8,m,w
OSTRICH 2015,OST15-8W-S,126,8,s,w
OSTRICH 2015,OST15-9W-Und,127,9,und,w
OSTRICH 2015,OST15-9W-M,128,9,m,w
OSTRICH 2015,OST15-9W-S,129,9,s,w
OSTRICH 2015,OST15-10W-Und,130,10,und,w
OSTRICH 2015,OST15-10W-M,131,10,m,w
OSTRICH 2015,OST15-10W-M,131,10,m,w
OSTRICH 2015,OST15-10W-S,132,10,s,w
OSTRICH 2015,OST15-7W-Und,133,7,und,w
OSTRICH 2015,OST15-7W-Und ,133,7,und,w
OSTRICH 2015,OST15-7W-S,134,7,s,w
OSTRICH 2015,OST15-7W-M,135,7,m,w
OSTRICH 2015,OST15-7C-Und,136,7,und,c
OSTRICH 2015,OST15-7C-M,137,7,m,c
OSTRICH 2015,OST15-7C-S,138,7,s,c
OSTRICH 2015,OST15-6C-Und,139,6,und,c
OSTRICH 2015,OST15-6C-S,140,6,s,c
OSTRICH 2015,OST15-6W-M,141,6,m,w
